Wall time,Step,Value
1555886687.171729,0,1.3152854442596436
1555888781.4378808,1,0.935309112071991
1555890876.1789963,2,0.6262657642364502
1555892972.5927525,3,0.5786353945732117
1555895068.7491727,4,0.5235030651092529
1555897167.6532383,5,0.5821751356124878
1555899266.8476164,6,0.5269233584403992
1555901365.5188594,7,0.5130293369293213
1555903462.1700225,8,0.4975804388523102
1555905554.6025026,9,0.5342176556587219
